_id,code,name,telephone,email,client_address1,client_address2,client_address3,client_city,client_postcode,remp_client_contactISbb_encore_client_contactsID,debtorISbb_usersID_IN_Debtors,vatableYN,calendar_color,logoISfile,waste_coordinatorISbb_usersID_IN_Staff,xero_account_number,sic_code,uninvoiced_total_thresholdNUM,archivedYN,_apikey,_deleted,_authorid,_dateadded,_modifierid,_datemodified
11,ENC01,"Encore Environment",016040496987,info@encore-environment.com,"Unit 1 Home Farm",Sywell,,Northamptonshire,"NN6 OBQ",,,1,#CC99FF,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/11/Encore.png,9,,41201,1.00000000,0,d5c9852af1d671ff4aae944bf08bf881,0,7,"2016-03-22 12:22:03",9,"2020-07-23 08:38:59"
12,SCI01,"Science Museum Group","0333 241 4000",info@sciencemuseum.ac.uk,"Exhibition Rd,",,"South Kensington",London,"SW7 2DD",,,1,#FFFF33,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/12/Science Museum.png",,,41201,1.00000000,1,fbb6660b55bde98822eef78ed46e0811,0,7,"2016-03-29 16:43:09",32,"2019-11-28 12:25:35"
13,CAP01,"Caps Group Limited",01625467900,lucy.sparks@caps-group.com,"Zenith House","Cromwell Road",Bredbury,Stockport,"SK6 2RF",,,1,#999999,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/13/CAPS_Group_logo_RGB.png,9,CAP001,41201,1.00000000,0,dfcf9398427951de886e6c20e0abde1b,0,7,"2016-05-04 09:27:13",32,"2020-05-29 15:10:08"
51,HOL01,"Holmes Metrobuild","01689 452950",enquiries@weareholmes.co.uk,"218 Main Road",,"Biggin Hill",Kent,"TN16 3BD",412,,1,#A9A9A9,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/51/Metrobuild.jpg,9,HMB001,82990,1.00000000,0,03d6d89db30e42c7ece190c4c73361c9,0,7,"2016-10-21 15:49:52",20,"2018-10-31 14:18:29"
52,INT02,"Interserve Construction - Paragon Office","020 3457 9800",wecan@intparagon.com,"111 Old Broad Street",,,London,"EC2N 1AP",,,1,#0033FF,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/52/Interservelogo1.png,20,INTER03,41201,1.00000000,0,9b1f467d90b22a4402520eafca04df23,0,7,"2016-12-16 10:44:03",31,"2019-11-18 11:30:33"
53,E401,"E4 Environmental Ltd","0114 2454449",beckydransfield@e4ltd.co.uk,"E4 Environmental Ltd","13a Provincial Park","Nether Lane",Sheffield,"S35 9ZX",,,1,#006699,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/53/E4 Environment.jpg",11,,41201,1.00000000,1,ffdd946d74989cf4885e4efe2596eae2,0,11,"2017-01-18 11:36:57",32,"2019-11-28 11:29:35"
54,BC001,"Bourne Capital","020 7960 4141",info@bournecapital.com,"Capital Tower","91 Waterloo Road",,London,"SE1 8RT",,,1,#00CCCC,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/54/BOURNE-CAPITAL.jpg,11,BOU001,41201,1.00000000,1,2f54bde16078d4c995c740afe5084271,0,14,"2017-03-16 16:34:45",32,"2019-11-28 11:01:14"
55,ADL001,"ADL Drywall Group","0870 4020320",info@adl-group.co.uk,"Unit 2","218 New Road",Ascot,Berkshire,"SL5 8PS",472,,1,#CC6633,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/55/ADL.png,20,ADL001,43310,1.00000000,1,71605ad6bb208805c686f696b00e758d,0,14,"2017-03-22 15:37:55",32,"2019-11-28 10:51:29"
56,PAR002,"Paragon - Private",,,,,,,,,,1,#99CC66,,9,,,,0,8246216783650763ed6b60ddc3f49882,0,14,"2017-03-29 10:38:01",9,"2020-04-28 11:31:41"
57,VOR001,"Vortex Interiors Ltd","01342 719004",simon@vortexinteriors.com,"Unit 2","Hollybush Business Centre","Shipley Bridge Lane",Horley,"RH6 9TL",481,,1,#669900,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/57/Vortex logo 1.png",9,VOR001,41201,1.00000000,1,a67e83acc7cab527d797648f8430a2f1,0,7,"2017-08-07 14:25:00",32,"2019-11-28 12:33:24"
58,PRO7,"Project7 Construction Ltd","01895 813 627",matt.clarke@p7.co.uk,"54 Oxford Road",Uxbridge,,Middlesex,"UB9 4DN",675,,1,#9999CC,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/58/Project7 Text.png",9,PRO001,43999,1.00000000,0,054e816a016981dab72eaaf337fd9ac4,0,7,"2017-08-16 11:13:46",9,"2020-11-20 08:28:48"
59,ROK01,"Roker Group","01206 578 708",contact@rokergroup.co.uk,"22 Seaview Ave","West Mersea",,Colchester,"CO5 8HE",505,,1,#990033,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/59/roker-group-website-banner.jpg,9,ROK001,41100,1.00000000,1,26a08932b40cd14776f82b0492775806,0,9,"2017-09-05 09:34:35",32,"2019-11-28 12:24:04"
60,WIN01,Winvic,"01604 678960",mail@winvic.co.uk,"19 Tenter Road","Moulton Park",,Northampton,"NN3 6PZ",543,,1,#FF99CC,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/60/Screen Shot 2017-09-22 at 15.25.26.png",9,,41201,1.00000000,1,40614030c3696c8e5bf604063293f871,0,9,"2017-09-21 08:39:54",32,"2019-11-28 12:34:57"
61,KAJ001,Kajima,"020 3075 1800",enquiries@kajima.co.uk,"55 Baker Street",,,London,"W1U 8EW",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/61/kajima_default.jpg,9,KAJ001,41201,1.00000000,1,566cf9b82c082a0ac321093a25eceedb,0,9,"2017-10-04 15:13:08",32,"2019-11-28 11:43:26"
62,QOB001,"QOB Interiors","0203 755 3209",info@QOBinteriors.com,"100 Borough High Street",,,London,"SE1 1NL",532,,1,#009900,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/62/QOBinteriors logo.png",9,,43390,1.00000000,1,4cabee07738da8d554c3480f89113e35,0,20,"2017-10-09 11:27:35",32,"2019-11-28 12:20:32"
64,KHAR001,"Knight Harwood","020 7499 0808",info@knightharwood.com,"Josaron House","5-7 John Prince’s Street",,London,"W1G 0JN",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/64/knight-harwood-3.jpg,9,KNH001,41201,1.00000000,1,1b6b8f86bcb2f548924b8c0e039f8907,0,9,"2017-10-16 08:43:56",32,"2019-11-28 11:46:08"
66,BRITISH001,"British Land",02074864466,info@britishland.com,Yorkhouse,"45 Seymour Street",,London,"WH1 7LX",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/66/British Land.jpg",,,41201,1.00000000,1,4de399a4d7d0d56dcbb3287f6436775a,0,9,"2017-11-14 09:50:34",32,"2019-11-28 11:05:51"
67,COWOL,"Corley & Woolley","020 3667 5501",info@corleywoolley.com,"1St Floor,","23 Finsbury House",,London,"EC2M 7EA",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/67/CW.png,,,41201,1.00000000,1,bd5cfa5728cbe745cef8ed4aefb56d2a,0,9,"2017-11-17 13:11:34",32,"2019-11-28 11:21:06"
68,FAR,Farrans,"01763 850600",afuller@farrans.com,"New Cambridge House","Bassingbourn Road",Litlington,Royston,"SG8 0SS",605,,1,#33CC33,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/68/Screen Shot 2018-01-04 at 16.06.14.png",9,FAR001,41201,1.00000000,0,4d494d16a4fd888f43ed91d69dc0ea56,0,9,"2017-12-06 12:38:59",9,"2020-11-20 08:31:05"
69,PAG,PAG,"0161 302 2455  01282 930285",enquiry@pagconstruction.co.uk,"1A Chadwick Road",Eccles,Manchester,Lancastershire,"M30 0NZ",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/69/PAG.png,9,,41201,1.00000000,1,ea85fe8da4a890ed1162ffe94edaf7c0,0,9,"2017-12-06 12:39:57",32,"2019-11-28 12:13:35"
70,MORSIN,"Morgan Sindall","020 7307 9200",enquiries@morgansindall.com,"4th Floor","Londin Gate","72 Dyke Road Drive",Brighton,"BN1 6AJ",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/70/morgan-sindall_owler_20170405_163436_original.png,9,,41201,1.00000000,0,61dd9ea525497431453eb994ecac938c,0,9,"2017-12-06 12:40:33",9,"2020-12-10 14:08:06"
71,BUCK,"Buckingham Group","01280 823355",katie.abbott@buckinghamgroup.co.uk,"Silverstone Road",Stowe,,Bucks,"MK18 5LJ",564,,1,#CC0033,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/71/Screen Shot 2017-12-06 at 12.20.43.png",9,,41201,1.00000000,1,502e1028a5992582b17adc2a0d396f7f,0,9,"2017-12-06 12:41:58",9,"2019-11-27 20:19:24"
72,STYLES,"Styles & Wood","0161 926 6000",media@extentiagroup.co.uk,"99 Charterhouse Street",,Clerkenhall,London,"EC1M 6HR",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/72/Extentia.jpg,9,,41201,1.00000000,1,d943d4ecccfcf66869764cde1196f749,0,9,"2017-12-06 12:46:36",32,"2019-11-28 12:29:39"
73,KIER,Kier,"0203 280 6000",foleystreetreception@kier.co.uk,"33 Foley Street",,,London,"W1W 7TL",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/73/Kier.png,9,,41201,1.00000000,1,bce97cb324c1b2207b0f197f45e4af29,0,9,"2017-12-06 12:47:00",32,"2019-11-28 11:45:09"
74,OTHER,OTHER,,,,,,,,,,1,,,9,,,,0,cb3c4940ba8331c636e7aa76b3baee36,0,9,"2017-12-12 12:18:22",9,"2020-11-13 13:02:42"
75,LOG01,"Logan Construction","01322 443270",calvin.bennett@loganconstruction.co.uk,"Unit 7 Green Lane Business Park","Green Lane",Eltham,London,"SE9 3TL",577,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/75/logan-construction-logo_250x61.png,9,,41201,1.00000000,1,1f8b5b74955695fbd42309bf649b9dc7,0,9,"2018-01-04 11:46:49",32,"2019-11-28 11:48:50"
76,MCGOFF01,"McGoff Construction Ltd","0161 927 2940",tristan.marshall@mcgoffgroup.com,"Mayfield House","Lyon Road","Atlantic Street",Altrincham,"WA14 5EF",579,,1,#FF0000,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/76/AAEAAQAAAAAAAAxNAAAAJDFlNDVlMmI5LTkxMmItNDFhZS04ZDVkLThhNTRjYTIwZGM1ZQ.png,9,,41201,1.00000000,1,1d3648d77ea8fbcf9f289ec45d768c7e,0,9,"2018-01-11 10:57:26",32,"2019-11-28 11:57:18"
77,QUEST,"Quest Interiors","020 7460 2617",info@questinteriors.com,"Quest Interiors","London Studio 2","109 Gloucester Road",London,"SW7 4SS",585,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/77/logo-web.png,9,,41201,1.00000000,1,686b3abb344dba4fbec456f8ffa29da0,0,9,"2018-01-15 12:05:26",32,"2019-11-28 12:21:05"
78,CSB01,"CSB Logistics","020 8293 1282",matt.barker@csblogistics.com,"669 Woolwich Road",Charlton,,London,"SE7 8LH",596,,1,#FF0033,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/78/CSB.jpg,11,CSB001,41201,1.00000000,1,c52b8b4d28d39acf5ecbce0bd93970ca,0,9,"2018-02-22 12:02:38",32,"2019-11-28 11:22:34"
79,"COS - 001","Cosmur Construction","0207 604 2277",info@cosmur.co.uk,"72 Saulsbury Road",,,London,"NW6 6NU",617,,1,#66FFFF,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/79/Screen Shot 2018-04-16 at 13.44.34.png",19,,41201,1.00000000,1,6d2c7aa1ec4c970c5ffa20f1fb7071a7,0,19,"2018-04-16 13:50:05",32,"2019-11-28 11:21:54"
80,SQ1,"Square One Construction","01794 329001",info@squareoneconstruction.co.uk,"12 West Links",,Eastleigh,Hampshire,"SO53 3TG",621,,1,#0033FF,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/80/Screen Shot 2018-04-18 at 12.23.16.png",19,,41201,1.00000000,1,05e7cc094482f059f7254d13423b457f,0,19,"2018-04-18 12:24:41",32,"2019-11-28 12:27:05"
81,BB001,"Balfour Beatty","0113 821 3400",ian.parker2@balfourbeatty.com,"2100 Century Way","Thorpe Park",,Leeds,"LS15 8ZB",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/81/Screen Shot 2018-05-04 at 12.39.30.png",19,,41201,1.00000000,1,5299ace0b9779356936340051addfb6b,0,19,"2018-05-04 12:40:28",32,"2019-11-28 10:55:24"
82,F001,Fortem,"01709 538 247",matin.stewart@fortem.co.uk,"Swanage Court","Dodds Close","Broadmarsh Business Park",Rotherham,"S60 1BX",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/82/Screen Shot 2018-05-04 at 12.44.26.png",19,,41201,1.00000000,1,4edcedd0f5f5f85f11749435dcde0565,0,19,"2018-05-04 12:44:54",32,"2019-11-28 12:37:03"
83,001TD,"Tower Demolition","0207 232 1882",info@towerdemolition.co.uk,"Tower Bridge Busines Complex","B504 - 506 Drummond Road",,London,"SE16 4DU",635,,1,#66FF99,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/83/Screen Shot 2018-05-11 at 11.44.04.png",,,41201,1.00000000,1,6621e3a77326e06cb378f32155df6a0e,0,19,"2018-05-11 11:51:00",32,"2019-11-28 12:32:39"
84,RH001,"Rhino Interiors Group","02476 675999",info@rhinooffice.co.uk,"Brookside House","Burnsall Road",,Coventry,"CV5 6BU",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/84/Rhhion 1.jpg",9,,41201,1.00000000,1,50d4514c34d9f60dbf199aa2e4e3a679,0,9,"2018-05-11 12:56:24",32,"2019-11-28 12:21:37"
85,BAX001,Baxall,"01892 831000",enquiries@baxallconstruction.co.uk,"Eastlands Estate","Maidstone Road","Paddock Wood",Kent,"TN12 6BU",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/85/Baxall_20Logo_20Portrait.jpg,9,,41201,1.00000000,1,ac9886aec05da0d81bfe77b48d70b101,0,9,"2018-05-18 15:14:28",32,"2019-11-28 10:56:05"
86,BK001,"Bowmer & Kirkland","01773 853131",info@bandk.co.uk,"High Edge Court",Heage,Belper,Derbyshire,"DE56 2BW",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/86/Standard-Logo-e1486476227345.png,,,41201,1.00000000,1,6ed44103b9b265eebaebf19f732c7985,0,9,"2018-05-23 11:39:40",32,"2019-11-28 11:03:06"
87,COBRA001,"Cobra Projects","01622 790140",sales@cobraprojects.com,"8 Yew Tree Industrial Estate","Mill Hall",Aylesford,Kent,"ME20 7ET",,,1,#9900FF,,9,COB001,41201,1.00000000,0,4a049dc978f719ec3cba414a4f68e586,0,9,"2018-05-24 16:10:06",9,"2020-08-28 08:03:32"
88,BY001,Bouygues,"0207401 0020",communications@bouygues-uk.com,"1 Lambeth Palace Road",,,London,"SE1 7EU",654,,1,#FF6600,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/88/Screen Shot 2018-06-06 at 08.39.50.png",11,BOY001,41201,1.00000000,1,0b6fc9986d52109a1ae17eabc029983e,0,19,"2018-06-06 08:38:08",32,"2019-11-28 11:02:24"
89,ODI001,"OD Interiors","020 7562 7800",info@od-group.com,"9th Floor","55 Old Broad Street",,London,"EC2M 1RX",,,1,#669933,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/89/dvML0VGp_400x400.jpeg,9,ODI001,41201,1.00000000,0,7ef2319c73801a48697b254136b60b0f,0,9,"2018-06-27 12:59:10",9,"2020-11-20 08:29:17"
90,PARK,Parkeray,"0207 378 4567",chris.blencowe@parkeray.co.uk,"Bridge House","4 Borough High Street",,London,"SE1 9QQ",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/90/Screen Shot 2018-06-27 at 13.42.01.png",19,,41201,1.00000000,1,e6a1c82d1a327e2b6eea6bf3773567a8,0,19,"2018-06-27 13:42:51",32,"2019-11-28 12:19:06"
91,WA01,"Wates Construction","01372 861 000",info@wates.co.uk,"Wates House","Station Approach",,Leatherhead,"KT22 7SW",,,1,#FFCCFF,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/91/Screen Shot 2018-07-04 at 16.44.18.png",19,WAT001,41201,1.00000000,1,f35571118081517ae983cfa57dc9b7ae,0,19,"2018-07-04 16:48:30",32,"2019-11-28 12:33:57"
92,MATRIX01,Matrixoics,0207630770,info@matrixoics.co.uk,"16 Rochester Row",Westminster,,London,"SW1P 1NS",,,1,#993366,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/92/Matrix-.png,11,MAT001,41201,1.00000000,1,74390591f8cc66c3b729cfc542b6801f,0,11,"2018-11-14 15:33:56",32,"2019-11-28 11:56:41"
93,DCP001,DCP,"0208 123 9813",enquiries@dcplimited.co.uk,"38 Sandy Lane North",Wallington,,Surrey,"SM6 8JX",,,1,#00CCFF,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/93/DCP.jpg,9,DUL001,43290,1.00000000,0,9b7c9f6762edc55c4c1e89ed061bf35e,0,9,"2018-11-16 12:07:08",9,"2020-11-20 08:30:51"
94,TGM001,"TGM Contractors Ltd","0208 1239813  01753 888 031",info@tgmcontractors.co.uk,"Westminster House","Gerrards Cross",,Buckinghamshire,"SL9 8Hy",,,1,#FFCCCC,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/94/tgm_logo_150x79.png,20,TGB001,43290,1.00000000,0,912b89eadd5b37555b6f8086c4738a9c,0,9,"2018-11-26 09:28:57",31,"2019-11-15 14:26:43"
95,SPMET001,"Speller Metcalfe","01684 571200",Cameron.Scott@spellermetcalfe.com,"Maple Road","Enigma Business Park",Malvern,Worcester,"WR14 1GQ",,,1,#FF9933,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/95/Speller.png,9,SPE001,41201,1.00000000,0,45a875a2e5e9521c7fc38e5486abfe26,0,9,"2018-12-19 09:23:23",32,"2019-11-28 12:26:30"
96,BRI001,"Bridge Interiors","01509 632610",jason@bridgeinteriors.co.uk,"Unit 20, Meadow Lane Industrial Units","Gordon Road",Loughborough,Leicestershire,"LE11 1JP",,,1,#99CCCC,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/96/Bridge-Logo.jpg,9,BRI001,43390,1.00000000,1,d9d384cb9c2d297c77a83c0e98c4046a,0,9,"2018-12-19 10:30:21",9,"2019-11-27 20:14:13"
97,AX001,"Axis Europe- Brentford","020 7564 2100",info@axiseurope.com,"145 - 149 Vauxhall Street",,,London,"SE11 5RH",,,1,#999900,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/97/Axis Logo CMYK.jpg",9,AXI001,43999,1.00000000,1,16843081af574fd8815716a4bedcbb30,0,9,"2018-12-19 15:32:27",9,"2019-11-27 20:12:43"
98,MB001,"Michael Brady Ltd","020 8900 2345",info@michaelbradyltd.co.uk,"Monument House","215 Marsh Road",,Pinner,"HA5 5NE",,,1,#FF0099,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/98/Capture.PNG,9,MIC001,41201,1.00000000,0,b063d7ab471acdf337d755250fe73a4e,0,9,"2019-01-09 15:00:07",9,"2019-02-18 09:53:40"
99,OKT001,Oktra,"020 7553 9500",dkingma@oktra.co.uk,"First Floor","322 High Holborn",,London,"WC1V 7PB",742,,1,#CC9999,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/99/OKTRA.png,9,OKT001,41201,1.00000000,0,e9ce8c42722eb9a49bf2dd79b7db0cef,0,11,"2019-01-10 10:56:12",9,"2020-01-01 19:47:34"
100,SPACEAS01,"Space and Solutions","0203 740 1080",hello@spaceandsolutions.com,"21 Ironmonger Lane",,,London,"EC2V 8EY",,,1,#FFCC99,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/100/Logo image 07.02.19.jpg",11,SPA001,41201,1.00000000,1,80d80fc5999ea424ede2d365d615701f,0,11,"2019-02-07 14:23:22",32,"2019-11-28 12:26:09"
101,NBCON01,"NB Consultants Ltd","01206 271400",natalie@nbconsultantsltd.co.uk,"Yewtree House","Colchester Road","White Colne",Essex,"CO6 2PP",,,1,#66CC33,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/101/Logo.gif,20,NBCON01,41201,1.00000000,1,9b42243b7bc5cbc1e0f0c5cf7d2a8c33,0,11,"2019-02-20 08:56:18",32,"2019-11-28 12:03:38"
102,NUCOM01,NUCOM,"020 7600 5334",www.nucominteriors.com,"15 Basinghall Street",,,London,"EC2V 5BR",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/102/nucom-logo.png,11,,41201,1.00000000,1,2c14a7e0f1312f170e033c13f2088b8b,0,11,"2019-02-27 13:39:55",32,"2019-11-28 12:04:06"
103,WEWO001,"We Work","+4420 3695 7895",,"WeWork, 8th Floor","10 York Road",Lambeth,London,"SE1 7ND",,,1,#FF99CC,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/103/WeWork-logo.jpg,9,WEW001,41100,1.00000000,0,144a2f7104a370405a480d0f4836f82d,0,9,"2019-02-28 13:52:17",32,"2020-02-17 13:04:32"
104,21CON001,"21 Construction",02033070021,hello@21.construction,"4th floor","Boundary House","91-93 Charterhouse, Barbican",London,"EC11 GHR",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/104/21 Logo.png",9,TOC001,41201,1.00000000,1,e3d0bef8515e610cece2e1818dfa1339,0,9,"2019-03-22 16:17:49",32,"2019-11-28 10:49:03"
105,PATCON01,"Paterson Contracts Ltd",07545037102,darren@paterson-contracts.co.uk,"310 Crofton Road",Orpington,,Kent,"BR6 8NW",,,1,#660099,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/105/Logo.jpg,11,PAT001,41201,1.00000000,1,7030df02d4306451498a87d479803708,0,11,"2019-03-28 10:15:30",32,"2019-11-28 12:19:35"
106,BDS001,BDS,02073539841,ktr@bds-architecture.com,"25 Holborn Viaduct","Fitz Elywin House","Third Floor",London,"EC1A 2BP",,,1,#000000,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/106/BDS.jpg,9,,41201,1.00000000,1,44b15b7d4b45002be17be61d52c897ed,0,9,"2019-04-24 14:30:47",32,"2019-11-28 10:58:31"
107,VER001,"Verity Interiors","07917 781758",james.bowden@verity-interiors.com,"Westminster House","70 Packhorse Road","Gerrards Cross",Bucks,"SL9 8HY",967,,1,#CC6699,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/107/Logo.png,9,VER01,41201,1.00000000,0,769ccfc3b158ae245f8e50e5b840bfe0,0,9,"2019-06-18 07:42:55",9,"2020-06-22 08:10:13"
108,KPM001,"K.P.M Construction Limited","020 8314 1520",info@kpmctn.co.uk,"102 Brockley Rise","Forest Hill",,London,"SE23 1LN",,,1,#CCCCFF,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/108/KPM Construction.png",9,KPM01,41201,1.00000000,1,d42749b223e536ade09f5f5b48f506e0,0,9,"2019-07-09 08:49:28",9,"2020-03-05 11:56:04"
109,MOR001,"Morgan Lovell Southern","01344 353800",graham.collins@morganlovell.com,"Morgan Lovell Southern","Maxis 1, Western Road",Bracknell,Berkshire,"RG12 1RT",,,1,#FFCC66,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/109/Logo.jpg,9,MOR01,41201,1.00000000,0,21c7f81b2152648f8efc788520a5cc01,0,9,"2019-07-15 11:55:41",32,"2020-06-05 11:22:04"
