_id,project_title,project_job_number,bb_encore_clients.name,client_project_number,accreditationISbb_encore_accreditation_typesID,client_contact_1ISbb_encore_client_contactsID,client_contact_2ISbb_encore_client_contactsID,client_contact_3ISbb_encore_client_contactsID,client_contact_4ISbb_encore_client_contactsID,client_contact_preferred_email_recipient_numberNUM,client_contact_email_listISsmallplaintextbox,project_detailISsmallplaintextbox,internal_notesISsmallplaintextbox,external_notesISsmallplaintextbox,feedback_service_commentsISsmallplaintextbox,feedback_continuous_improvementISsmallplaintextbox,feedback_positive_aspectsISsmallplaintextbox,main_supplierISbb_encore_suppliersID,main_supplier_notesISsmallplaintextbox,main_supplier2ISbb_encore_suppliersID,main_supplier2_notesISsmallplaintextbox,main_supplier3ISbb_encore_suppliersID,main_supplier3_notesISsmallplaintextbox,site_address1,site_address2,site_address3,site_city,site_postcode,services_start_date,project_end_date,project_length,project_budget,floor_area_m2NUM,forecast_adjust_percentNUM,Senior_Project_ManagerISbb_encore_client_contactsID,Project_ManagerISbb_encore_client_contactsID,Shell_And_Core_Contractor,Contracts_Manager,Contracts_Manager_Contact_DetailsISsmallplaintextbox,Contracts_Manager_Email_Address,Strip_Out_ProjectYN,Strip_Out_Contractor,Strip_Out_Contact,Strip_Out_Contact_DetailsISsmallplaintextbox,Strip_Out_Contact_Email_Address,Document_Controller,Document_Controller_Contact_DetailsISsmallplaintextbox,Document_Controller_Email_Address,Waste_Contractor,Waste_CoordinatorISbb_usersID_IN_Staff,encore_operations_managerISbb_usersID_IN_Staff,encore_operations_directorISbb_usersID_IN_Staff,considerate_constructor_schemeYN,BREEAM_Assessor,BREEAM_Assessor_AddressISsmallplaintextbox,BREEAM_Assessor_Contact_DetailsISsmallplaintextbox,BREEAM_rating_Target,BREEAM_dashboard_targetNUM,SKA_Assessor,SKA_Assessor_Contact_DetailsISsmallplaintextbox,SKA_rating_Target,PCEA_requiredYN,PCEA_sent_date,waste_min_opt_demolitISLIST_Client_Encore_Both_Other,waste_min_opt_purchISLIST_Client_Encore_Both_Other,waste_min_opt_storageISLIST_Client_Encore_Both_Other,waste_min_opt_handlingISLIST_Client_Encore_Both_Other,waste_min_opt_materialsISLIST_Client_Encore_Both_Other,waste_min_opt_material_suppISLIST_Client_Encore_Both_Other,waste_min_opt_proj_natureISLIST_Client_Encore_Both_Other,remp_additional_pdf01ISfile,override_client_color,procurement_sheetISfile,rate_cardISfile,send_automated_emailsYN,uninvoiced_total_thresholdNUM,non_remp_projectYN,archive_projectYN,_apikey,_deleted,_authorid,_dateadded,_modifierid,_datemodified
13,"Science Museum Interactive Gallery",PARSMIG0116100,"Interserve Construction Ltd ( Paragon Div )",4174,,23,,,,,,,,,,,,180,,76,,,,"Exhibition Road","South Kensington",,London,"SW7 2DD","2016-01-26 00:00:00","2016-06-23 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,6e83f3f8526f0b67ac48e2e6e39de4ce,0,7,"2016-02-09 13:25:08",7,"2017-02-03 14:20:46"
14,"Interserve construction Ltd ( Paragon Div )- Elstree House",PAREH07700,"Interserve Construction Ltd ( Paragon Div )",2039,,221,50,189,,1.00000000,,,,,,,,47,,134,,94,,"Elstree Way",Borehamwood,,Hertfordshire,"WD6 1SD","2015-09-04 00:00:00","2017-02-13 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,700.00000000,0,1,4da828088670eaf339ca9a12df8955c0,0,7,"2016-02-09 13:44:13",11,"2019-03-04 13:02:32"
15,"Westfield House",PARWH0769,"Interserve Construction Ltd ( Paragon Div )",2040,,263,,,,,,,,,,,,85,,,,,,"Westfield House","London Road",,"High Wycombe","HP11 1HA","2015-07-22 00:00:00","2016-04-25 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,1000.00000000,0,1,8b0d5beaa475f9c95d1af41d20ea0da8,0,7,"2016-02-09 13:46:17",14,"2017-03-21 15:58:58"
16,"Northwest Ambulance Station",BBNASP011605,"Brown and Bancroft",,,106,,,,,,,,,,,,,,,,,,"449-451 Garstand Road",Broughton,,Preston,"PR3 5LN","2016-01-11 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,7c888531a7600daaf3937c13fa8c1a01,0,7,"2016-02-09 14:00:28",7,"2016-12-05 09:49:55"
17,"Collins- Elsinore House, Phase 1",COLEH1213,"Collins Construction Ltd",,,91,94,284,,,,,,"Skips and bins still on site as this has now transferred onto phase 2 (in a new PL.)",,,,134,,,,,,"77 Fulham Palace Road",,,London,"W6 8JA","2015-08-10 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,1000.00000000,0,1,042b599ba58a20640c1b76e1c3d5b50a,0,7,"2016-02-16 10:01:21",9,"2017-01-16 14:45:29"
18,Winnersh,COLWIN0603,"Collins Construction Ltd",,,88,97,87,,,,,,,,,,158,,174,,,,"Building 220","Winnersh Triangle",,Reading,"RG41 5TP","2015-09-07 00:00:00","2016-05-06 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,53af8ac2e9aed32997f59ae7910e23fe,0,7,"2016-02-16 10:06:11",-1,"2016-08-10 10:51:37"
19,"Interserve- RAF Honnington",INTRAFH011601,"Interserve Construction",,,140,303,351,,,,,"Please call the site contact when the driver is half an hour away so they can arrange for an escort to meet the driver at the gates. Please also ensure any driver visiting this site, has a form of photo ID on them (a driving licence will suffice.)
Please ensure a hard copy of the tickets are left in the site office, after each service- each ticket MUST be signed by either Matt, Kevin or Jason. And that each skip is weighed.","Site have manual REMP not EE REMP.",,,,194,,239,,,,"RAF Honnington","Green Lane",,Honnington,"IP31 1EE","2016-01-06 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/19/Rate Card.pdf",1,500.00000000,1,1,5e864db72ee16e0b7fd57696becaebc0,0,7,"2016-02-16 10:08:34",9,"2017-09-01 11:53:43"
20,"Richard Crossman",OVECOV0401,"Overbury Central",,,72,,,,,,,,,,,,,,,,,,"Richard Crossman Building","Jorden Well",,Coventry,"CV1 5RW","2015-05-26 00:00:00","2016-05-05 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,0.00000000,0,1,98acb97bc0cac8eb2a3c7f1af5611567,0,7,"2016-02-16 10:12:27",7,"2017-02-27 16:18:40"
21,"Coop Litchfield",OVECOL011507,"Overbury Central",,,74,,,,,,,,,,,,172,,77,,,,"Central England Cooperative","Hermes Road",,Litchfield,"WS13 6RH","2016-01-12 00:00:00","2016-05-30 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,c92b0e988b07a84782689b4e9085a761,0,7,"2016-02-16 10:14:42",-1,"2016-08-10 10:30:45"
22,"New Walk Leicester",OVENWL011607,"Overbury Central",,,79,151,73,,,,,,,,,,114,,14,,,,"53 Wellington Street",,,Leicester,"LE1 6HJ","2016-01-25 00:00:00","2016-07-25 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,20bf616f1e67df19e74c7459447e88fc,0,7,"2016-02-16 10:16:39",-1,"2016-10-04 16:10:33"
23,"Keswick YHA",BBYHA021606,"Brown and Bancroft",,,105,,,,,,,,,,,,195,,,,,,YHA,"Station Street",,Keswick,"CA12 5LH","2016-02-24 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,0.00000000,0,1,4e1e5a4694c598518c7cbc77ccd51d3a,0,7,"2016-02-29 12:03:09",7,"2017-02-27 16:18:14"
32,"Camelford House",ASQCH011601,Area,,,152,,,,,,,,,,,,134,,,,,,"4th Floor","Camelford House","89 Albert Embankment",London,"SE1 7TP","2016-03-03 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,3948e6b90314d89d97437f87998d071a,0,7,"2016-03-01 11:23:01",7,"2016-12-05 09:49:56"
33,"Science Museum- Mathematics Gallery",PARSMMG0316104,"Interserve Construction Ltd ( Paragon Div )",4173,,23,,,,,,,,,,,,180,,176,,76,,"Science Museum","Dana Centre","165 Queen's Gate",London,"SW7 5HD","2016-03-07 00:00:00","2016-07-15 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,2000.00000000,0,1,03b84ce9ca6f243cae5c3a50f95800b5,0,9,"2016-03-04 09:53:10",7,"2017-02-03 14:21:15"
34,"Parkway, Chelmsford",OHPCHE031604,"One Hundred Partnership",PRT146,,135,,,,,,,,,,,,156,,,,,,"Birkett Long,","Faviell House,","Parkway,",Chelmsford.,"CM1 1WZ","2016-03-25 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,1e219ae94f2c5060693e526497dabe0c,0,7,"2016-03-24 08:49:52",7,"2016-12-05 09:49:56"
35,"Royal College of Nursing",OVENWL011608,"Overbury Central",,,80,,,,,,,,,,,,157,,,,,,"Lyndon House","56-62 Hagley Road",,Birmingham,"B16 8PE","2016-04-04 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,18ce9bf8667c23c2c505dca10f3a9e06,0,7,"2016-03-24 16:14:25",-1,"2016-08-10 10:32:23"
36,"Berlin - Curry's PC World Blackburn",DSG0001,"DSG Retail Plc (Currys)",,,122,123,,,,,,,,,,,196,,,,,,,,,,,"2016-04-01 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,0a3355fb9b3795c11f652c89594e4bbd,0,7,"2016-03-29 13:29:21",-1,"2016-10-24 13:13:53"
37,"Science Museum",SCI0001,"Science Museum Group",,,153,,,,,,,,,,,,153,,,,,,"Exhibition Road",,,London,"SW7 2DD","2016-03-31 00:00:00","2016-04-08 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,c6f17a29f45b0d68d43bca747a5e4174,0,7,"2016-03-29 16:45:16",7,"2016-12-05 09:49:56"
38,"Ferndale Road",PARWH0770,"Interserve Construction Ltd ( Paragon Div )",1030,,20,,,,,,,,,,,,180,,,,,,"240-250 Ferndale Road",,,London,"SW9 8BQ","2016-04-06 00:00:00","2016-05-16 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,402379740c6c9100f858ef3d97b38318,0,11,"2016-04-05 10:18:33",-1,"2016-08-01 16:36:55"
39,"SWAS - Curry's PC World, Workington",DSG0002,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,195,,,,,,"Derwent House Retail Park","Derwent Drive",,Workington,"CA14 3YW","2016-04-11 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,19ded095b9ef63afffca569448275121,0,9,"2016-04-05 12:21:26",-1,"2016-10-26 11:27:50"
40,"SWAS - Curry's PC World, Sheffield Meadhowhall",DSG0003,"DSG Retail Plc (Currys)",,,108,112,,,,,,,,,,,201,,,,,,,,,,,"2016-05-20 00:00:00","2016-05-27 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,4b9233647f39b849169a243af7950c24,0,9,"2016-04-08 15:20:13",-1,"2016-10-26 11:31:42"
41,"SWAS - Curry's PC World, Crewe",DSG0004,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,"Curry's PC World","Unit 6, Grand Junction Retail Park",,Crewe,"CW12 2RP","2016-04-15 00:00:00","2016-04-25 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,13aca689bd04c9453fe6742c73e8895e,0,9,"2016-04-13 15:23:25",-1,"2016-10-26 11:21:24"
42,"Berlin - Curry's PC World, Hull St Andrews",DSG0005,"DSG Retail Plc (Currys)",,,108,109,,,,,,,,,,,210,,212,,,,"Unit 8, The Junction (Phase 3)","St Andrews Quay",,Hull,"HU3 4SA","2016-04-28 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,a57df0bc78e6467e0e5506e848604e14,0,9,"2016-04-15 12:39:27",-1,"2016-10-24 13:20:43"
43,"SWAS - Curry's PC World, Burton on Trent",DSG0006,"DSG Retail Plc (Currys)",,,155,,,,,,,,,,,,172,,,,,,"Eight Avenue, Centrum East Retail Park",,,"Burton on Trent","DE14 2WG","2016-05-09 00:00:00","2016-05-13 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,0105608595e8576ae658e1dae179e938,0,9,"2016-04-18 09:21:18",-1,"2016-10-26 11:20:02"
44,Ringmer,ONE0001,"One Hundred Partnership",,,135,,,,,,,,,,,,,,,,,,"East Sussex Highways","The Broyle",Ringmer,Lewes,"BN8 5NP","2016-04-20 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,9887b1d7a142745fa67f64555b2aa682,0,11,"2016-04-18 10:24:50",7,"2016-12-05 09:49:56"
46,"SWAS - Curry's PC World, Loughborough",DSG0007,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,172,,,,,,"Curry's PC World","Units C-D","Derby Road Retail Park",Loughborough,"LE11 5PF","2016-04-25 00:00:00","2016-04-29 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,a8c0c8399c3a4709f67541c6a1018935,0,9,"2016-04-18 15:54:57",-1,"2016-10-26 11:24:39"
47,"SWAS - Curry's PC World, Leeds.",DSG0008,"DSG Retail Plc (Currys)",,,112,,,,,,,,,,,,112,,,,,,"Curry's PC World","LDU1, Cavendish House","King Charles Street",Leeds,"LS1 6AG","2016-05-17 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,5cf1447dcb77bd3bca0a100f56695123,0,9,"2016-04-21 13:10:56",7,"2016-12-05 09:49:56"
50,"Berlin - Curry's PC World, Doncaster",DSG0009,"DSG Retail Plc (Currys)",,,122,125,,,,,,,,,,,181,,,,,,"Curry's PC World","Unit 2 Danum Retail Park","York Road",Doncaster,"DN5 8AS","2016-04-29 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,f093e556f76731d7240689e9b4b669d3,0,9,"2016-04-25 14:45:25",-1,"2016-10-24 13:20:07"
51,"SWAS- Curry's PC World, Nottingham Trinity",DSG0010,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,172,,,,,,"Curry's PC World","Unit 10","Trinity Square",Nottingham,"NG1 4AF","2016-05-03 00:00:00","2016-05-13 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,f6c1736598757f751fe10ea2b5313fd4,0,9,"2016-04-26 15:05:09",-1,"2016-10-26 11:38:53"
52,"Overbury- Library of Birmingham",OVENWL011609,"Overbury Central",,,72,,,,,,,,"12YD wait and load= £265. Rach W provided 27/06/2016.
Weir Waste, 8YD wait and load, mixed= £185 incl 20 minutes. £2 per minute after.",,,,53,,157,,92,,"Library of Birmingham","Cambridge Street",,Birmingham,"B1 2ND","2016-04-28 00:00:00","2016-08-04 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,4ab9bbfdfbe734010d4fdc20e9e12bdc,0,9,"2016-04-27 09:53:45",-1,"2016-11-04 14:40:22"
53,"Phelipps Way",ARE0001,Area,,,159,,,,,,,,,,,,200,,,,,,"9 Phelipps Way","Corfe Mullen",,,"BH21 3NN","2016-04-30 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,c06c08fc774528321ef45341f5b97f87,0,9,"2016-04-29 10:23:51",7,"2016-12-05 09:49:56"
54,"Berlin - Curry's PC World, Bradford",DSG0011,"DSG Retail Plc (Currys)",,,108,110,,,,,,,,,,,199,"40YD, mixed= £60 Transport, £120 per T. Min 3T.",198,,,,"Curry's PC World, Bradford","Unit 1, Foster Square Retail Park","Canal Road",Bradford,"BD1 4JB","2016-05-05 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,02d0dcf01215a58b044a85da72e8f60b,0,9,"2016-04-29 12:04:27",-1,"2016-10-24 13:18:43"
55,"Theta House, Frimley",COLWIN0604,"Collins Construction Ltd",,,160,,,,,,,,"Being charged £10 per bin, per week (6 x 660's on site.) Currently being charged every Tuesday- see whether we can just invoice at the end of the month for 4 weeks?",,,,,,,,,,"Theta House, Lyon Way",Frimley,Camberley,Surrey,"GU16 7ER","2016-05-03 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,8c8eb4a744723c127ce3007f07e048f0,0,11,"2016-04-29 15:37:58",7,"2016-12-05 08:46:52"
56,"Berlin - Curry's PC World, Bolton Gate.",DSG0012,"DSG Retail Plc (Currys)",,,161,171,,,,,,,,,,,95,,198,,,,"Unit G","Bolton Gate Retail Park","20-22 Round Hill Way",Bolton,"BL1 2SP","2016-05-04 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,d2a678cfc39a27ba1bd3cf6203e81511,0,9,"2016-04-29 15:42:30",7,"2016-12-05 09:49:56"
57,"SWAS- Curry's PC World, Nottingham Madford",DSG0013,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,172,,,,,,"Madford Retail Park","Mansfield Road",,Nottingham,"NG5 6AD","2016-05-06 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,8302ae468206c2c55f8950a86e3f62c5,0,9,"2016-04-29 16:08:24",-1,"2016-10-26 11:38:31"
58,Hull,CAP0001,"Caps Group Limited",,,162,,,,,,,,,,,,31,,,,,,"221 -227 Holderness Road",,,Hull,"HU8 8TB","2016-05-09 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,960b87320770a473fca580deac87239a,0,11,"2016-05-04 09:52:50",7,"2016-12-05 09:49:56"
59,"Eastbourne Terrace",PARWH0772002,"Interserve Construction Ltd ( Paragon Div )",8603,,191,274,,,,,,,,,,,180,,176,,,,"20 Eastbourne Terrace",Paddington,,London,"W2 6LE","2016-05-12 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,15757b3fe23a54cf21952d50a30eefd1,0,11,"2016-05-05 14:16:58",7,"2016-12-05 09:49:56"
60,"SWAS - Curry's, Sheffield Meadowhall",DSG0014,"DSG Retail Plc (Currys)",,,112,,,,,,,,,,,,201,,,,,,"Unit 93 Upper Mall","46 high Street",Meadowhall,Sheffield,"S9 1EN","2016-05-20 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,c666fdd1533767dd943ad78d7b25de50,0,11,"2016-05-05 16:21:52",-1,"2016-10-26 11:26:14"
61,Reading,CAP0002,"Caps Group Limited",,,162,,,,,,,,,,,,,,,,,,"37 broad street",reading,,,"rg1 2aa","2016-05-06 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,24f74ba645e318d35bcb31cd837fdd11,0,11,"2016-05-05 17:12:58",7,"2016-12-05 09:49:56"
